name,cas,cid,inchikey,smiles,formula,mw,note,family,descriptors
Ethyl acetate,141-78-6,8857,XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(=O)C,C4H8O2,88.11,top,fruity/solvent,"fruity, ethereal, glue-like"
cis-3-Hexen-1-ol,928-96-1,5281167,UFLHIIWVXFIJGU-ARJAWSKDSA-N,CC/C=C\CCO,C6H12O,100.16,top,green,"cut grass, leafy, fresh green"
Benzaldehyde,100-52-7,240,HUMNYLRZRPPJDN-UHFFFAOYSA-N,C1=CC=C(C=C1)C=O,C7H6O,106.12,top,almond,"bitter almond, cherry, marzipan"
Octanal (Aldehyde C-8),124-13-0,454,NUJGJRNETVAIRJ-UHFFFAOYSA-N,CCCCCCCC=O,C8H16O,128.22,top,aldehydic,"orange, citrus, fatty aldehydic"
Isoamyl acetate,123-92-2,31276,MLFHJEHSLIIPHL-UHFFFAOYSA-N,CC(C)CCOC(=O)C,C7H14O2,130.19,top,fruity,"banana, pear, ripe fruit"
p-Cymene,99-87-6,7463,HFPZCAJZSCWRBC-UHFFFAOYSA-N,CC1=CC=C(C=C1)C(C)C,C10H14,134.22,top,terpenic,"citrus, solvent, terpene"
Limonene,138-86-3,22311,XMGQYMWWDOXHJM-UHFFFAOYSA-N,CC1=CCC(CC1)C(=C)C,C10H16,136.24,top,citrus,"orange peel, fresh, sweet · in orange/lemon"
alpha-Pinene,80-56-8,6654,GRWFGVWFFZKLTI-UHFFFAOYSA-N,CC1=CCC2CC1C2(C)C,C10H16,136.24,top,terpenic,"pine, resinous, fresh"
Ligustral,68039-49-6,93375,MZZRKEIUNOYYDF-UHFFFAOYSA-N,CC1C=C(CCC1C=O)C,C9H14O,138.21,top,green,"foliage, leafy, green, cucumber"
Melonal,106-72-9,61016,YGFGZTXGYTUXBA-UHFFFAOYSA-N,CC(CCC=C(C)C)C=O,C9H16O,140.23,top,green,"melon, cucumber, watery green"
Camphor,76-22-2,2537,DSSYKIVIOFKYAU-UHFFFAOYSA-N,CC1(C2CCC1(C(=O)C2)C)C,C10H16O,152.24,top,camphoraceous,"camphor, medicinal, cooling · in lavandin"
Citral,5392-40-5,638011,WTEVQBCEXWBHNA-JXMROGBWSA-N,CC(=CCC/C(=C/C=O)/C)C,C10H16O,152.24,top,citrus,"lemon, intense, zesty · in lemon"
Citronellal,106-23-0,7794,NEHNMFOYXAPHSD-UHFFFAOYSA-N,CC(CCC=C(C)C)CC=O,C10H18O,154.25,top,citrus,"citronella, lemon, green, fresh"
"Eucalyptol (1,8-cineole)",470-82-6,2758,WEEGYLXZBRQIMU-UHFFFAOYSA-N,CC1(C2CCC(O1)(CC2)C)C,C10H18O,154.25,top,fresh/camphor,"eucalyptus, minty, cooling"
Linalool,78-70-6,6549,CDOSHBSSFJOMGT-UHFFFAOYSA-N,CC(=CCCC(C)(C=C)O)C,C10H18O,154.25,top,floral,"fresh, floral, lavender, citrus · in lavandin/bergamot"
Allyl hexanoate,123-68-2,31266,RCSBILYQLVXLJG-UHFFFAOYSA-N,CCCCCC(=O)OCC=C,C9H16O2,156.22,top,fruity,"pineapple, fruity, juicy"
Decanal (Aldehyde C-10),112-31-2,8175,KSMVZQYAVGTKIV-UHFFFAOYSA-N,CCCCCCCCCC=O,C10H20O,156.27,top,aldehydic,"orange peel, waxy, aldehydic"
Dihydromyrcenol,18479-58-8,29096,XSNQECSCDATQEL-UHFFFAOYSA-N,CC(CCCC(C)(C)O)C=C,C10H20O,156.27,top,fresh,"lime, citrus, fresh, soapy"
Menthol,89-78-1,1254,NOOLISFMXDJSKH-UHFFFAOYSA-N,CC1CCC(C(C1)O)C(C)C,C10H20O,156.27,top,mint,"peppermint, cooling, fresh"
Indole,120-72-9,798,SIKJAQJRHWYJAI-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CN2,C8H7N,117.15,heart,animalic/floral,"jasmine, mothball, animalic"
2-Phenylethanol,60-12-8,6054,WRMNZCZEMHIOCP-UHFFFAOYSA-N,C1=CC=C(C=C1)CCO,C8H10O,122.17,heart,rose,"rose, honey, soft floral"
p-Cresyl methyl ether,104-93-8,7731,CHLICZRVGGXEOD-UHFFFAOYSA-N,CC1=CC=C(C=C1)OC,C8H10O,122.17,heart,floral,"narcissus, animalic floral · in ylang ylang"
Cinnamaldehyde,104-55-2,637511,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,C1=CC=C(C=C1)/C=C/C=O,C9H8O,132.16,heart,spice,"cinnamon, warm, sweet spice"
p-Anisaldehyde,123-11-5,31244,ZRSNZINYAWTAHE-UHFFFAOYSA-N,COC1=CC=C(C=C1)C=O,C8H8O2,136.15,heart,sweet floral,"hawthorn, mimosa, sweet, powdery"
trans-Anethole,4180-23-8,637563,RUVINXPYWBROJD-ONEGZZNKSA-N,C/C=C/C1=CC=C(C=C1)OC,C10H12O,148.2,heart,anise,"anise, licorice, sweet"
Piperonal (heliotropin),120-57-0,8438,SATCULPHIDQDRE-UHFFFAOYSA-N,C1OC2=C(O1)C=C(C=C2)C=O,C8H6O3,150.13,heart,powdery,"heliotrope, almond, vanilla · ~Heliotropex"
Benzyl acetate,140-11-4,8785,QUKGYYKBILRGFE-UHFFFAOYSA-N,CC(=O)OCC1=CC=CC=C1,C9H10O2,150.18,heart,white floral,"jasmine, sweet, fruity · in ylang ylang"
Methyl anthranilate,134-20-3,8635,VAMXMNNIEUEQDV-UHFFFAOYSA-N,COC(=O)C1=CC=CC=C1N,C8H9NO2,151.16,heart,floral,"orange blossom, grape, fruity"
Methyl salicylate,119-36-8,4133,OSWPMRLSEDHDFF-UHFFFAOYSA-N,COC(=O)C1=CC=CC=C1O,C8H8O3,152.15,heart,wintergreen,"wintergreen, minty, medicinal"
Geraniol,106-24-1,637566,GLZPCOQZEFWAFX-JXMROGBWSA-N,CC(=CCC/C(=C/CO)/C)C,C10H18O,154.25,heart,rose,"rose, floral, sweet, geranium"
Nerol,106-25-2,643820,GLZPCOQZEFWAFX-YFHOEESVSA-N,CC(=CCC/C(=C\CO)/C)C,C10H18O,154.25,heart,rose,"fresh rose, sweet, magnolia"
Rose oxide,16409-43-1,27866,CZCBTSFUTPZVKJ-UHFFFAOYSA-N,CC1CCOC(C1)C=C(C)C,C10H18O,154.25,heart,rose,"green rose, metallic, fresh"
alpha-Terpineol,98-55-5,17100,WUOACPNHFRMFPN-UHFFFAOYSA-N,CC1=CCC(CC1)C(C)(C)O,C10H18O,154.25,heart,floral,"lilac, pine, sweet floral"
Citronellol,106-22-9,8842,QMVPMAAFGQKVCJ-UHFFFAOYSA-N,CC(CCC=C(C)C)CCO,C10H20O,156.27,heart,rose,"rose, citrus, fresh floral"
Eugenol,97-53-0,3314,RRAFCDWBNXTKKO-UHFFFAOYSA-N,COC1=C(C=CC(=C1)CC=C)O,C10H12O2,164.2,heart,spice,"clove, warm, spicy, sweet · in clove"
Isoeugenol,97-54-1,853433,BJIOGJUNALELMI-ONEGZZNKSA-N,C/C=C/C1=CC(=C(C=C1)O)OC,C10H12O2,164.2,heart,spice,"clove, carnation, spicy sweet"
cis-Jasmone,488-10-8,1549018,XMLSXPIVAXONDL-PLNGDYQASA-N,CC/C=C\CC1=C(CCC1=O)C,C11H16O,164.25,heart,jasmine,"jasmine, floral, celery"
Dihydrojasmone,1128-08-1,62378,YCIXWYOBMVNGTB-UHFFFAOYSA-N,CCCCCC1=C(CCC1=O)C,C11H18O,166.26,heart,jasmine,"jasmine, herbal, spicy fruity"
