176	Pungent | Sour, vinegar-like odor
196	Odorless
240	Characteristic odor or volatile oil of almond | Odor resembling oil of bitter almond
243	Odorless or with a slight benzaldehyde odor | FAINT, PLEASANT ODOR
244	Faint aromatic odor
261	Characteristic, pungent, aldehyde odor
263	HARSH FUSEL ODOR WITH BANANA | Odor similar to amyl alcohol | Rancid, sweet | Strong characteristic, mildly alcoholic odor
264	Unpleasant, rancid odor | Penetrating and obnoxious odor
379	FAINT, FRUITY-ACID ODOR | UNPLEASANT AND IRRITATING ODOR | Slight odor
460	Aromatic odor | CHARACTERISTIC SWEET ODOR, SLIGHTLY PHENOLIC
650	Quinone odor; vapors have a chlorine-like odor | Very strong buttery odor in dilute solution | Strong odor
660	Herbal | Odor similar to coumarin at room temp or reminiscent of nitrobenzene at higher temp. | Coconut odor | Hay-like
679	Slightly sulfurous odor | Distinctive garlic or oyster-like odor
753	MILD ODOR | Odorless
957	Fresh orange rose odor | Penetrating aromatic odor
1001	Fishy odor
1030	Practically odorless
1031	Similar to ethanol | Odor perception threshold: <0.07-100 mg/cu-m; odor recognition threshold: 0.32-150 mg/cu m
1032	Slightly pungent disagreeable, rancid odor
1049	Sharp, nauseating | Burnt, sickening | Nauseating fish-like odor.
1068	UNPLEASANT ODOR OF WILD RADISH, CABBAGE-LIKE
1110	Odorless
1183	Sweetish smell | Pleasant aromatic vanilla odor
2345	Light, balsamic odor reminiscent of almond | Faint, pleasant, aromatic odor
2537	Fragrant and penetrating odor | Penetrating aromatic odor
2682	Faint odor | ODORLESS
2758	Camphor-like odor
2879	Phenolic odor | Sweet, tarry odor
2969	Rancid odor | Unpleasant odor
3102	Geranium-like odor | Sweet, rose-like odor
3314	Odor of cloves | Warm, spicy, floral
3776	Pleasant odor | Slight odor resembling that of a mixture of ethanol and acetone | Odor of rubbing alcohol
3893	Characteristic, like oil of bay
4133	LIQUID HAVING THE CHARACTERISTIC ODOR OF WINTERGREEN
6054	CHARACTERISTIC ROSE-LIKE ODOR | Pure PEA has an extremely mild roselike odor. >99% pure vary in odor because of the impurities present.
6184	Characteristic fruity odor (on dilution) | Strong, green grass odor | Sharp, aldehyde odor
6276	CHARACTERISTIC FUSEL-LIKE ODOR | Mild odor
6501	ON DILUTION, STRONG FRUITY ODOR | FRUITY, BERRY AROMA
6544	Peppermint-like odor | Camphor-like
6549	Odor similar to that of bergamot oil and French lavender | Typical floral odor free from camphoraceous and terpenic notes | Floral, spicy, wood odor | Flowery-fresh odor and reminiscent of Lily of the Valley
6560	Sweet, musty odor | Odor like that of amyl alcohol, but weaker | Penetrating, wine-like, disagreeable odor | Suffocating odor of fusel oil
6561	EXTREMELY SHARP | Pungent odor
6569	Acetone-like odor | Sweet, pleasant, pungent | Moderately sharp, fragrant, mint- or acetone-like odor
6584	Pleasant odor | Fragrant, fruity odor
6590	Pungent odor like that of butyric acid, but not as unpleasant | SHARP, BUTTER-FAT-LIKE ODOR
6658	Characteristic quality: sulfur-like, sweet, sharp; hedonic tone: unpleasant | Acrid, fruity odor
6826	ORANGE & MANDARIN-PEEL-LIKE ODOR
6989	Odor of thyme | A spicy-herbal, slightly medicinal odor reminiscent of thyme | Aromatic odor
6998	Bitter, almond-like odor | Pungent, irritating odor similar to benzenaldehyde, acetophenone, and nitrobenzene, but with phenolic notes
7092	Somewhat dry, herbaceous (tonka-like) odor; also characterized as a delicate fig or date sweetness. | Coconut odor
7095	Pleasant, peculiar odor | Pleasant, characteristic odor. | Pleasant, butter-like
7150	Fragrant odor | FRUITY ODOR, ALSO SIMILAR TO CANANGA | MEDICINAL ODOR
7302	Pleasant odor | Faint odor
7360	Mild odor | Odorless
7361	Faint burning odor
7409	MILD FLORAL ODOR | MILD HYACINTH-GARDENIA ODOR | Weak, bitter, almond-like odor
7410	Sweet pungent odor | Sweet, pungent and strong medicinal odor | Sweet almond-like smell
7463	Sweetish aromatic odor | Mild pleasant odor | When pure, has a weak citrus odor
7476	Pleasant odor | Hawthorn odor | Similar to that of p-methylacetopheneone, suggestive of hawthorn and floral note of heliotrope
7519	SWEET ANISE-LIKE ODOR | Agreeable aromatic odor | Spicy-sweet
7559	Honey, jasmine odor
7583	Geranium-like odor
7657	FAINT, ALMOND ODOR | VERY SLIGHT ODOR OF BENZALDEHYDE
7720	Mild, oily, sweet, slightly floral odor reminiscent of rose | Intense and unpleasant
7731	STRONG FLORAL ODOR | PUNGENT ODOR SUGGESTIVE OF YLANG-YLANG | SHARP, FRUITY SWEET ODOR
7749	REMINISCENT OF RUM & PINEAPPLE | Fruity odor | Odor of pineapple | Butter- or rum-like
7761	Sweet ester odor | Slightly aromatic, pleasant odor | Aroma of ripe fruit, peach, cut grass
7762	Pineapple odor
7765	PUNGENT, GREEN, WOODY SOLVENT ODOR
7768	Unpleasant odor
7820	PLEASANT, ETHEREAL, WINEY ODOR
7915	Aromatic | Fruity odor. | Quality: sweet, ester; hedonic tone: pleasant to unpleasant | Pleasant-odored
7937	Odor of pyridine plus peppermint
7967	ODOR REMINISCENT OF PEPPERMINT & ACETONE | Peppermint- or acetone-like odor.
7969	Repulsive, penetrating, garlic-like odor, especially when impure
7991	UNPLEASANT ODOR, SIMILAR TO BUTYRIC ACID | Unpleasant odor | Penetrating odor
