12327	105.00 °C. @ 4.00 mm Hg
12580	232.00 to 233.00 °C. @ 760.00 mm Hg
12741	210.00 °C. @ 760.00 mm Hg
13187	377.6 °F at 743 mmHg (USCG, 1999)	0.62 [mmHg]
13204	110.00 to 112.00 °C. @ 15.00 mm Hg
13561	228.00 °C. @ 760.00 mm Hg
14104	214.00 to 216.00 °C. @ 760.00 mm Hg
14228	277 °C
15717	239.00 to 240.00 °C. @ 760.00 mm Hg
16255	267.00 to 268.00 °C. @ 760.00 mm Hg
16324	142.00 to 143.00 °C. @ 760.00 mm Hg
16537	213.00 to 225.00 °C. @ 760.00 mm Hg
16741	139.00 to 140.00 °C. @ 11.00 mm Hg	0.01 [mmHg]
17121	189.00 to 190.00 °C. @ 760.00 mm Hg
17525	204.00 to 206.00 °C. @ 760.00 mm Hg
17617	91.00 °C. @ 1.00 mm Hg
18827	84.00 to 85.00 °C. @ 25.00 mm Hg
21648	Decomposes
22310	193.00 to 194.00 °C. @ 760.00 mm Hg
22873	245.00 to 246.00 °C. @ 760.00 mm Hg
23235	522 °F at 770 mmHg (NTP, 1992)
24020	132.00 to 133.00 °C. @ 760.00 mm Hg
24116	105.00 °C. @ 2.00 mm Hg
24513	218.00 °C. @ 760.00 mm Hg
24834	249.00 to 250.00 °C. @ 760.00 mm Hg
31209	284 °C
31210	133.00 to 135.00 °C. @ 15.00 mm Hg
31219	220.00 to 222.00 °C. @ 760.00 mm Hg
31225	244.00 to 245.00 °C. @ 760.00 mm Hg	0.05 [mmHg]
31234	241 °C	0.0234 mm Hg at 25 °C
60998	247.00 °C. @ 760.00 mm Hg
60999	318.00 to 320.00 °C. @ 760.00 mm Hg
61005	125.00 to 127.00 °C. @ 4.00 mm Hg
61024	236.00 to 238.00 °C. @ 760.00 mm Hg
61048	242.00 °C. @ 760.00 mm Hg
61052	279.00 to 280.00 °C. @ 760.00 mm Hg
61130	220 °C
61151	254.00 to 255.00 °C. @ 760.00 mm Hg
61155	122.00 to 124.00 °C. @ 18.00 mm Hg
61177	155.00 to 156.00 °C. @ 760.00 mm Hg
61185	260 °C
61199	83-86 °C (0.5 mmHg)
61204	152.00 to 155.00 °C. @ 10.50 mm Hg
61229	287.00 to 288.00 °C. @ 760.00 mm Hg
61293	101.00 to 102.00 °C. @ 14.00 mm Hg
61325	221.00 to 222.00 °C. @ 760.00 mm Hg
61331	150.00 °C. @ 0.40 mm Hg
61408	165-167 °C
61523	155.00 °C. @ 20.00 mm Hg
61771	76.00 to 78.00 °C. @ 8.00 mm Hg
62332	370.00 °C. @ 760.00 mm Hg
62374	92.00 to 94.00 °C. @ 11.00 mm Hg
62375	87.00 to 89.00 °C. @ 18.00 mm Hg
62465	235.00 to 236.00 °C. @ 760.00 mm Hg
62572	338 °F at 760 mmHg (NTP, 1992)
62580
62835	93.00 to 95.00 °C. @ 2.00 mm Hg
62900	93-94 °C
62902	153 °C
69963	154-155 °C
88454	73.00 to 74.00 °C. @ 10.00 mm Hg
106997	232 °C
159055	399 °F at 760 mmHg (NTP, 1992)
165675	421 °F at 760 mmHg (NTP, 1992)	0.8 [mmHg]
170833	216.00 to 218.00 °C. @ 760.00 mm Hg
228769	249.00 to 251.00 °C. @ 760.00 mm Hg
439570	227.00 to 230.00 °C. @ 760.00 mm Hg
440917	348 to 349 °F at 760 mmHg (NTP, 1992)	1.98 mm Hg at 25 °C
444539	298.00 to 300.00 °C. @ 760.00 mm Hg
520296	130.00 to 135.00 °C. @ 5.00 mm Hg
521238	187 °C
565690
595928	83-85 °C (4 mm Hg)
637758	271-272 °C	0.00327 [mmHg]
638024	498.00 to 499.00 °C. @ 760.00 mm Hg	0.00000013 [mmHg]
