641423	286 °C
778574	287 °C
1549025	134 °C (25 mm Hg)
1549778
1550470	195-196 °C
2733294	165.00 to 166.00 °C. @ 760.00 mm Hg
5273467	310 °C
5315892	250.0 °C @ 760 MM HG
5318599	88 °C (11 mm Hg)
5352539	80.00 °C. @ 30.00 mm Hg
5352837	95.00 °C. @ 25.00 mm Hg
5355850	289 °C
5362588	86-87 °C (60 mm Hg)
5362798	234-236 °C
5362814	60.00 °C. @ 30.00 mm Hg
5363233	125-126 °C
5363388	75.00 to 76.00 °C. @ 23.00 mm Hg
5363491	100.00 °C. @ 20.00 mm Hg
5364231	71.00 °C. @ 0.70 mm Hg
5364729	153 °C
5365027	96.00 °C. @ 10.00 mm Hg
5365049	180.00 to 182.00 °C. @ 760.00 mm Hg
5367698	297.00 to 299.00 °C. @ 760.00 mm Hg
5367706	105.00 °C. @ 1.00 mm Hg
5368076	114-115 °C (21 mm Hg)
261	167 °F at 760 mmHg (NTP, 1992)	111 mm Hg at 25 °C
650	190 °F at 760 mmHg (NTP, 1992)	56.8 mm Hg at 25 °C
6276	280 °F at 760 mmHg (NTP, 1992)	2.2 mm Hg at 25 °C
6561	147 °F at 760 mmHg (NTP, 1992)	173 mm Hg @ 25 °C
6584	134.4 °F at 760 mmHg (NTP, 1992)	235 mmHg at 77 °F
7720	363 to 365 °F at 760 mmHg (NTP, 1992)	0.136 mm Hg at 25 °C
7749	210 °F at 760 mmHg (USCG, 1999)	35.8 mm Hg @ 25 °C
7762	250 °F at 760 mmHg (USCG, 1999)	12.8 [mmHg]
7770	142.00 to 143.00 °C. @ 760.00 mm Hg	5.95 [mmHg]
7797	188.00 to 189.00 °C. @ 760.00 mm Hg
7799	206.00 to 208.00 °C. @ 760.00 mm Hg
7803	122.00 to 124.00 °C. @ 760.00 mm Hg
7824	302 °F at 760 mmHg (NTP, 1992)	3.72 [mmHg]
7826	174.00 °C. @ 760.00 mm Hg	1.56 [mmHg]
7915	190 to 196 °F at 743.3 mmHg (NTP, 1992)	60.37 mm Hg @ 25 °C
7967	312.1 °F at 760 mmHg (NTP, 1992)	5.2 mmHg at 77 °F
7983	332 °F at 760 mmHg (USCG, 1999)	1.81 [mmHg]
7997	214.9 °F at 760 mmHg (USCG, 1999)	35.9 [mmHg]
8025	129.6 °F at 760 mmHg (USCG, 1999)	245 mm Hg at 25 °C
8038	243.1 °F at 760 mmHg (USCG, 1999)	17.8 [mmHg]
8051	300 °F at 760 mmHg (USCG, 1999)	3.85 mm Hg at 25 °C
8063	216 to 217 °F at 760 mmHg (NTP, 1992)	50 mmHg at 77 °F
8091	192.9 °C @ 760 mm Hg
8093	173.5	1.35 mm Hg at 25 °C
8103	314.8 °F at 760 mmHg (USCG, 1999)	0.928 mm Hg at 25 °C
8129	349 °F at 760 mmHg (USCG, 1999)	0.2163 mm Hg at 25 °C
8452	267.17 °F at 760 mmHg (NTP, 1992)	11.4 mm Hg at 25 °C
8723	128 °C @ 760 MM HG	3.13 mm Hg at 25 °C
10882	144.00 to 145.00 °C. @ 760.00 mm Hg
10895	66.00 to 67.00 °C. @ 60.00 mm Hg
11124	175.5 °F at 760 mmHg (NTP, 1992)	84.0 [mmHg]
11419	329 °F at 760 mmHg (USCG, 1999)	2.25 [mmHg]
11525	169.00 to 171.00 °C. @ 760.00 mm Hg	1.5 [mmHg]
11527	173.00 to 175.00 °C. @ 760.00 mm Hg
11529	296.2 °F at 760 mmHg (USCG, 1999)	4.42 [mmHg]
11567	169-170 °C	1.5 [mmHg]
12020	114.00 °C. @ 760.00 mm Hg	9.68 [mmHg]
12178	133.00 to 135.00 °C. @ 760.00 mm Hg	4.81 [mmHg]
12180	216 °F at 760 mmHg (NTP, 1992)	32.3 mm Hg @ 25 °C
12206	259.7 °F at 760 mmHg (NTP, 1992)
15606	213.00 to 214.00 °C. @ 760.00 mm Hg	0.21 [mmHg]
21057	153-154 °C
22386	234 °F at 760 mmHg (NIOSH, 2024)	6.11 [mmHg]
31246	291 °F at 760 mmHg (NIOSH, 2024)	5.2 [mmHg]
31260	270 °F at 760 mmHg (USCG, 1999)	2.37 mm Hg @ 25 °C
31265	166.00 to 168.00 °C. @ 760.00 mm Hg	1.56 [mmHg]
31272	259.7 °F at 760 mmHg (NTP, 1992)	11.5 mm Hg at 25 °C
246728	332.6 to 334.4 °F at 760 mmHg (USCG, 1999)	2.0 [mmHg]
